Algorithm,DataType,DataSize,ExecutionTime(ms),Comparisons
Standard QuickSort,Random,100,0.087208,696
Standard QuickSort,ReverseSorted,100,0.070125,514
Standard QuickSort,NearlySorted,100,0.061958,488
Standard QuickSort,CommonPrefix,100,0.079625,586
Standard MergeSort,Random,100,0.246708,548
Standard MergeSort,ReverseSorted,100,0.200000,316
Standard MergeSort,NearlySorted,100,0.189334,386
Standard MergeSort,CommonPrefix,100,0.316625,552
String QuickSort,Random,100,0.049292,0
String QuickSort,ReverseSorted,100,0.071375,0
String QuickSort,NearlySorted,100,0.061792,0
String QuickSort,CommonPrefix,100,0.077541,0
String MergeSort with LCP,Random,100,0.395291,611
String MergeSort with LCP,ReverseSorted,100,0.332667,594
String MergeSort with LCP,NearlySorted,100,0.338709,697
String MergeSort with LCP,CommonPrefix,100,0.677208,6687
MSD Radix Sort,Random,100,0.475000,0
MSD Radix Sort,ReverseSorted,100,0.429041,0
MSD Radix Sort,NearlySorted,100,0.418916,0
MSD Radix Sort,CommonPrefix,100,1.312000,0
Hybrid MSD Radix Sort,Random,100,0.050083,0
Hybrid MSD Radix Sort,ReverseSorted,100,0.116458,0
Hybrid MSD Radix Sort,NearlySorted,100,0.081042,0
Hybrid MSD Radix Sort,CommonPrefix,100,0.995709,0
Standard QuickSort,Random,200,0.208667,1727
Standard QuickSort,ReverseSorted,200,0.158625,1225
Standard QuickSort,NearlySorted,200,0.138500,1168
Standard QuickSort,CommonPrefix,200,0.174083,1440
Standard MergeSort,Random,200,0.513208,1296
Standard MergeSort,ReverseSorted,200,0.452292,732
Standard MergeSort,NearlySorted,200,0.445167,1000
Standard MergeSort,CommonPrefix,200,0.699625,1298
String QuickSort,Random,200,0.126959,0
String QuickSort,ReverseSorted,200,0.199709,0
String QuickSort,NearlySorted,200,0.124250,0
String QuickSort,CommonPrefix,200,0.168292,0
String MergeSort with LCP,Random,200,0.786209,1515
String MergeSort with LCP,ReverseSorted,200,0.707459,1332
String MergeSort with LCP,NearlySorted,200,0.724292,1620
String MergeSort with LCP,CommonPrefix,200,1.329917,15795
MSD Radix Sort,Random,200,0.948041,0
MSD Radix Sort,ReverseSorted,200,0.813916,0
MSD Radix Sort,NearlySorted,200,0.837792,0
MSD Radix Sort,CommonPrefix,200,2.429500,0
Hybrid MSD Radix Sort,Random,200,0.114042,0
Hybrid MSD Radix Sort,ReverseSorted,200,0.271042,0
Hybrid MSD Radix Sort,NearlySorted,200,0.155917,0
Hybrid MSD Radix Sort,CommonPrefix,200,1.858791,0
Standard QuickSort,Random,300,0.304500,2487
Standard QuickSort,ReverseSorted,300,0.240750,1996
Standard QuickSort,NearlySorted,300,0.216375,1927
Standard QuickSort,CommonPrefix,300,0.301791,2554
Standard MergeSort,Random,300,0.826042,2100
Standard MergeSort,ReverseSorted,300,0.704042,1180
Standard MergeSort,NearlySorted,300,0.711375,1615
Standard MergeSort,CommonPrefix,300,1.132541,2098
String QuickSort,Random,300,0.200708,0
String QuickSort,ReverseSorted,300,0.322833,0
String QuickSort,NearlySorted,300,0.214958,0
String QuickSort,CommonPrefix,300,0.267000,0
String MergeSort with LCP,Random,300,1.288125,2524
String MergeSort with LCP,ReverseSorted,300,1.101958,2162
String MergeSort with LCP,NearlySorted,300,1.135750,2598
String MergeSort with LCP,CommonPrefix,300,2.204333,25588
MSD Radix Sort,Random,300,1.321625,0
MSD Radix Sort,ReverseSorted,300,1.159333,0
